session_date,session_source,session_medium,session_campaign,session_default_channel_grouping,device_category,country,landing_page_path,sessions,engaged_sessions,revenue,page_views,add_to_cart_events,begin_checkout_events,purchase_events,transactions
2025-04-01,google,cpc,Brand - NL,Paid Search,desktop,Netherlands,/collections/sale,98,58,126.95,235,6,3,2,2
2025-04-01,google,cpc,Shopping - All Products,Paid Search,mobile,Belgium,/collections/sale,91,49,72.2,274,6,3,1,1
2025-04-01,google,cpc,Shopping - Best Sellers,Paid Search,desktop,France,/collections/new-arrivals,82,41,134.05,250,7,3,2,2
2025-04-01,google,organic,,Organic Search,desktop,Netherlands,/products/organic-joggers,125,75,113.21,366,11,6,2,2
2025-04-01,google,organic,,Organic Search,mobile,Germany,/collections/best-sellers,110,72,62.18,323,9,5,1,1
2025-04-01,google,organic,,Organic Search,desktop,Belgium,/products/classic-essential-tee,103,63,146.59,304,7,3,2,2
2025-04-01,(direct),(none),,Direct,mobile,Netherlands,/blogs/style-guide,61,29,73.06,174,5,2,1,1
2025-04-01,(direct),(none),,Direct,mobile,Germany,/products/organic-joggers,50,23,65.76,150,3,1,1,1
2025-04-01,(direct),(none),,Direct,desktop,Other,/,56,29,116.46,140,4,2,2,2
2025-04-01,facebook,paid,Broad - Interest Based,Paid Social,desktop,Belgium,/collections/best-sellers,34,15,0.0,84,3,1,0,0
2025-04-01,facebook,paid,Broad - Interest Based,Paid Social,desktop,Netherlands,/,31,14,0.0,93,2,0,0,0
2025-04-01,facebook,paid,Retargeting - Website Visitors,Paid Social,desktop,Belgium,/products/premium-hoodie,33,15,0.0,93,2,1,0,0
2025-04-01,instagram,paid,Stories - New Collection,Paid Social,desktop,Netherlands,/products/recycled-sneakers,20,8,0.0,48,1,0,0,0
2025-04-01,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Netherlands,/products/classic-essential-tee,17,8,0.0,48,1,0,0,0
2025-04-01,instagram,paid,Stories - New Collection,Paid Social,desktop,Belgium,/collections/best-sellers,20,8,0.0,47,1,0,0,0
2025-04-01,email,newsletter,Post-Purchase Flow,Email,desktop,Belgium,/collections/new-arrivals,33,22,59.89,97,2,0,1,1
2025-04-01,email,newsletter,Post-Purchase Flow,Email,mobile,Netherlands,/products/classic-essential-tee,29,17,0.0,79,2,0,0,0
2025-04-01,email,newsletter,Weekly Newsletter,Email,tablet,Netherlands,/collections/best-sellers,28,19,0.0,77,2,1,0,0
2025-04-01,bing,organic,,Organic Search,mobile,Netherlands,/pages/about-us,16,9,0.0,38,1,0,0,0
2025-04-01,bing,organic,,Organic Search,desktop,Netherlands,/products/classic-essential-tee,16,10,0.0,43,1,0,0,0
2025-04-01,bing,organic,,Organic Search,desktop,Belgium,/collections/sale,16,10,0.0,41,1,0,0,0
2025-04-01,pinterest,referral,,Social,desktop,Netherlands,/,11,4,0.0,30,1,0,0,0
2025-04-01,pinterest,referral,,Social,desktop,Germany,/collections/best-sellers,12,4,0.0,29,1,0,0,0
2025-04-01,pinterest,referral,,Social,desktop,Netherlands,/products/organic-joggers,10,3,0.0,27,0,0,0,0
2025-04-02,google,cpc,Performance Max - Prospecting,Paid Search,mobile,Netherlands,/products/classic-essential-tee,97,49,56.59,250,7,3,1,1
2025-04-02,google,cpc,Brand - NL,Paid Search,mobile,Belgium,/products/recycled-sneakers,101,50,122.18,296,9,4,2,2
2025-04-02,google,cpc,Brand - NL,Paid Search,mobile,Belgium,/,90,46,68.66,278,7,3,1,1
2025-04-02,google,organic,,Organic Search,desktop,Netherlands,/collections/new-arrivals,99,64,120.72,297,8,4,2,2
2025-04-02,google,organic,,Organic Search,desktop,Netherlands,/collections/accessories,130,81,199.83,325,8,4,3,3
2025-04-02,google,organic,,Organic Search,mobile,Belgium,/blogs/style-guide,130,75,57.25,394,11,5,1,1
2025-04-02,(direct),(none),,Direct,mobile,Netherlands,/products/weekend-bag,64,35,72.44,153,5,2,1,1
2025-04-02,(direct),(none),,Direct,tablet,Germany,/blogs/style-guide,63,30,114.72,196,5,2,2,2
2025-04-02,(direct),(none),,Direct,mobile,Netherlands,/collections/new-arrivals,63,29,59.02,167,5,3,1,1
2025-04-02,facebook,paid,Lookalike - Purchasers,Paid Social,desktop,Belgium,/collections/best-sellers,44,19,0.0,140,3,1,0,0
2025-04-02,facebook,paid,Lookalike - Purchasers,Paid Social,desktop,Belgium,/collections/new-arrivals,42,18,0.0,131,2,0,0,0
2025-04-02,facebook,paid,Lookalike - Purchasers,Paid Social,desktop,France,/products/classic-essential-tee,41,19,0.0,99,3,1,0,0
2025-04-02,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Netherlands,/collections/accessories,19,8,0.0,54,1,0,0,0
2025-04-02,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Germany,/products/premium-hoodie,18,8,0.0,49,1,0,0,0
2025-04-02,instagram,paid,Stories - New Collection,Paid Social,desktop,Belgium,/products/classic-essential-tee,21,10,0.0,54,1,0,0,0
2025-04-02,email,newsletter,Abandoned Cart,Email,mobile,Belgium,/products/organic-joggers,28,17,0.0,77,2,0,0,0
2025-04-02,email,newsletter,Abandoned Cart,Email,mobile,Belgium,/collections/sale,29,18,0.0,90,2,1,0,0
2025-04-02,email,newsletter,Post-Purchase Flow,Email,desktop,Germany,/collections/sale,30,19,57.62,74,2,1,1,1
2025-04-02,bing,organic,,Organic Search,mobile,France,/collections/accessories,16,10,0.0,45,1,0,0,0
2025-04-02,bing,organic,,Organic Search,mobile,Netherlands,/collections/new-arrivals,16,10,0.0,41,1,0,0,0
2025-04-02,bing,organic,,Organic Search,desktop,Netherlands,/products/classic-essential-tee,13,7,0.0,31,1,0,0,0
2025-04-02,pinterest,referral,,Social,desktop,Netherlands,/collections/best-sellers,13,5,0.0,39,0,0,0,0
2025-04-02,pinterest,referral,,Social,desktop,Belgium,/blogs/style-guide,13,5,0.0,37,0,0,0,0
2025-04-02,pinterest,referral,,Social,desktop,Netherlands,/collections/new-arrivals,12,4,0.0,29,1,0,0,0
