event_date,device_category,channel_grouping,sessions,product_views,add_to_cart,begin_checkout,purchases,revenue
2025-04-01,desktop,Paid Search,181,112,23,13,8,472.85
2025-04-01,mobile,Paid Search,135,92,14,6,3,191.27
2025-04-01,desktop,Organic Search,183,109,21,12,7,443.23
2025-04-01,mobile,Organic Search,174,121,18,8,4,247.7
2025-04-01,desktop,Direct,90,60,10,5,3,172.49
2025-04-01,mobile,Direct,86,54,9,4,2,114.87
2025-04-01,desktop,Paid Social,108,74,12,6,3,217.1
2025-04-01,mobile,Paid Social,84,50,9,4,1,58.32
2025-04-01,desktop,Email,51,35,6,3,1,62.18
2025-04-01,mobile,Email,39,27,4,1,0,0.0
2025-04-02,desktop,Paid Search,163,101,18,10,5,332.28
2025-04-02,mobile,Paid Search,140,96,14,6,3,188.69
2025-04-02,desktop,Organic Search,212,131,25,13,7,474.45
2025-04-02,mobile,Organic Search,168,107,17,9,4,267.5
2025-04-02,desktop,Direct,94,63,10,4,2,126.18
2025-04-02,mobile,Direct,73,49,7,3,1,70.43
2025-04-02,desktop,Paid Social,107,65,14,7,3,195.26
2025-04-02,mobile,Paid Social,78,48,8,4,1,62.82
2025-04-02,desktop,Email,52,31,6,3,1,57.53
2025-04-02,mobile,Email,45,27,4,1,0,0.0
2025-04-03,desktop,Paid Search,172,104,21,11,6,357.13
2025-04-03,mobile,Paid Search,140,86,13,6,3,173.31
2025-04-03,desktop,Organic Search,180,123,22,12,6,369.35
2025-04-03,mobile,Organic Search,158,105,17,7,3,176.64
2025-04-03,desktop,Direct,92,58,11,6,3,213.26
2025-04-03,mobile,Direct,83,57,8,4,2,123.52
2025-04-03,desktop,Paid Social,95,57,12,5,3,213.82
2025-04-03,mobile,Paid Social,87,60,8,3,1,70.75
2025-04-03,desktop,Email,56,33,7,3,1,72.16
2025-04-03,mobile,Email,45,29,4,2,0,0.0
2025-04-04,desktop,Paid Search,157,95,19,9,5,315.95
2025-04-04,mobile,Paid Search,128,85,14,6,2,144.66
2025-04-04,desktop,Organic Search,173,104,19,10,6,358.53
