report_date,account_name,campaign_name,campaign_status,channel_type,device,ad_network_type,impressions,clicks,cost,conversions,conversions_value
2025-04-01,your_brand,Brand - NL,ENABLED,SEARCH,DESKTOP,SEARCH,559,33,15.88,1,70.76
2025-04-01,your_brand,Brand - NL,ENABLED,SEARCH,MOBILE,SEARCH,639,46,19.14,1,74.63
2025-04-01,your_brand,Brand - NL,ENABLED,SEARCH,TABLET,SEARCH,79,4,1.76,0,0.0
2025-04-01,your_brand,Brand - BE,ENABLED,SEARCH,DESKTOP,SEARCH,317,18,6.5,0,0.0
2025-04-01,your_brand,Brand - BE,ENABLED,SEARCH,MOBILE,SEARCH,398,22,9.19,0,0.0
2025-04-01,your_brand,Brand - BE,ENABLED,SEARCH,TABLET,SEARCH,43,3,1.62,0,0.0
2025-04-01,your_brand,Shopping - All Products,ENABLED,SHOPPING,DESKTOP,SEARCH,826,9,2.46,0,0.0
2025-04-01,your_brand,Shopping - All Products,ENABLED,SHOPPING,MOBILE,SEARCH,848,10,3.31,0,0.0
2025-04-01,your_brand,Shopping - All Products,ENABLED,SHOPPING,TABLET,SEARCH,139,1,0.28,0,0.0
2025-04-01,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,DESKTOP,SEARCH,612,8,2.18,0,0.0
2025-04-01,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,MOBILE,SEARCH,724,9,2.79,0,0.0
2025-04-01,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,TABLET,SEARCH,91,1,0.29,0,0.0
2025-04-01,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,DESKTOP,CONTENT,1116,31,11.6,1,72.35
2025-04-01,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,MOBILE,CONTENT,1144,31,12.43,0,0.0
2025-04-01,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,TABLET,CONTENT,166,4,1.65,0,0.0
2025-04-01,your_brand,Search - Generic,ENABLED,SEARCH,DESKTOP,SEARCH,468,27,10.69,1,66.76
2025-04-01,your_brand,Search - Generic,ENABLED,SEARCH,MOBILE,SEARCH,477,27,12.72,0,0.0
2025-04-01,your_brand,Search - Generic,ENABLED,SEARCH,TABLET,SEARCH,66,4,1.96,0,0.0
2025-04-01,your_brand,Search - Competitor,ENABLED,SEARCH,DESKTOP,SEARCH,268,16,7.65,0,0.0
2025-04-01,your_brand,Search - Competitor,ENABLED,SEARCH,MOBILE,SEARCH,289,21,8.74,0,0.0
2025-04-01,your_brand,Search - Competitor,ENABLED,SEARCH,TABLET,SEARCH,46,2,0.89,0,0.0
2025-04-01,your_brand,Display - Retargeting,ENABLED,DISPLAY,DESKTOP,CONTENT,370,1,0.21,0,0.0
2025-04-01,your_brand,Display - Retargeting,ENABLED,DISPLAY,MOBILE,CONTENT,367,1,0.18,0,0.0
2025-04-01,your_brand,Display - Retargeting,ENABLED,DISPLAY,TABLET,CONTENT,52,0,0.0,0,0.0
2025-04-02,your_brand,Brand - NL,ENABLED,SEARCH,DESKTOP,SEARCH,486,34,14.46,1,58.94
2025-04-02,your_brand,Brand - NL,ENABLED,SEARCH,MOBILE,SEARCH,588,38,16.95,0,0.0
2025-04-02,your_brand,Brand - NL,ENABLED,SEARCH,TABLET,SEARCH,94,5,2.17,0,0.0
2025-04-02,your_brand,Brand - BE,ENABLED,SEARCH,DESKTOP,SEARCH,332,23,10.21,0,0.0
2025-04-02,your_brand,Brand - BE,ENABLED,SEARCH,MOBILE,SEARCH,365,20,9.84,0,0.0
2025-04-02,your_brand,Brand - BE,ENABLED,SEARCH,TABLET,SEARCH,43,2,0.98,0,0.0
2025-04-02,your_brand,Shopping - All Products,ENABLED,SHOPPING,DESKTOP,SEARCH,739,9,2.05,0,0.0
2025-04-02,your_brand,Shopping - All Products,ENABLED,SHOPPING,MOBILE,SEARCH,1038,13,3.97,0,0.0
2025-04-02,your_brand,Shopping - All Products,ENABLED,SHOPPING,TABLET,SEARCH,119,1,0.25,0,0.0
2025-04-02,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,DESKTOP,SEARCH,661,8,2.47,0,0.0
2025-04-02,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,MOBILE,SEARCH,776,10,2.85,0,0.0
2025-04-02,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,TABLET,SEARCH,103,1,0.33,0,0.0
2025-04-02,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,DESKTOP,CONTENT,922,25,8.09,0,0.0
2025-04-02,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,MOBILE,CONTENT,1045,27,11.19,0,0.0
2025-04-02,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,TABLET,CONTENT,149,3,0.92,0,0.0
2025-04-02,your_brand,Search - Generic,ENABLED,SEARCH,DESKTOP,SEARCH,507,28,14.44,0,0.0
2025-04-02,your_brand,Search - Generic,ENABLED,SEARCH,MOBILE,SEARCH,497,35,15.56,0,0.0
2025-04-02,your_brand,Search - Generic,ENABLED,SEARCH,TABLET,SEARCH,81,6,3.02,0,0.0
2025-04-02,your_brand,Search - Competitor,ENABLED,SEARCH,DESKTOP,SEARCH,298,21,8.56,1,74.49
2025-04-02,your_brand,Search - Competitor,ENABLED,SEARCH,MOBILE,SEARCH,265,19,10.2,0,0.0
2025-04-02,your_brand,Search - Competitor,ENABLED,SEARCH,TABLET,SEARCH,36,2,0.91,0,0.0
2025-04-02,your_brand,Display - Retargeting,ENABLED,DISPLAY,DESKTOP,CONTENT,395,1,0.16,0,0.0
2025-04-02,your_brand,Display - Retargeting,ENABLED,DISPLAY,MOBILE,CONTENT,438,1,0.16,0,0.0
2025-04-02,your_brand,Display - Retargeting,ENABLED,DISPLAY,TABLET,CONTENT,51,0,0.0,0,0.0
2025-04-03,your_brand,Brand - NL,ENABLED,SEARCH,DESKTOP,SEARCH,644,36,18.09,1,57.53
2025-04-03,your_brand,Brand - NL,ENABLED,SEARCH,MOBILE,SEARCH,606,33,12.19,1,71.24
2025-04-03,your_brand,Brand - NL,ENABLED,SEARCH,TABLET,SEARCH,101,6,2.72,0,0.0
2025-04-03,your_brand,Brand - BE,ENABLED,SEARCH,DESKTOP,SEARCH,397,24,8.98,0,0.0
2025-04-03,your_brand,Brand - BE,ENABLED,SEARCH,MOBILE,SEARCH,347,23,11.99,0,0.0
2025-04-03,your_brand,Brand - BE,ENABLED,SEARCH,TABLET,SEARCH,55,3,1.34,0,0.0
2025-04-03,your_brand,Shopping - All Products,ENABLED,SHOPPING,DESKTOP,SEARCH,863,8,2.18,0,0.0
2025-04-03,your_brand,Shopping - All Products,ENABLED,SHOPPING,MOBILE,SEARCH,861,9,2.16,0,0.0
2025-04-03,your_brand,Shopping - All Products,ENABLED,SHOPPING,TABLET,SEARCH,155,1,0.29,0,0.0
2025-04-03,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,DESKTOP,SEARCH,747,8,2.42,0,0.0
2025-04-03,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,MOBILE,SEARCH,701,7,2.21,0,0.0
2025-04-03,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,TABLET,SEARCH,96,1,0.32,0,0.0
2025-04-03,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,DESKTOP,CONTENT,1332,32,12.98,0,0.0
2025-04-03,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,MOBILE,CONTENT,1192,34,9.65,0,0.0
2025-04-03,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,TABLET,CONTENT,200,5,1.79,0,0.0
2025-04-03,your_brand,Search - Generic,ENABLED,SEARCH,DESKTOP,SEARCH,588,35,15.83,1,61.55
2025-04-03,your_brand,Search - Generic,ENABLED,SEARCH,MOBILE,SEARCH,608,35,18.5,0,0.0
2025-04-03,your_brand,Search - Generic,ENABLED,SEARCH,TABLET,SEARCH,72,4,1.61,0,0.0
2025-04-03,your_brand,Search - Competitor,ENABLED,SEARCH,DESKTOP,SEARCH,314,23,8.89,0,0.0
2025-04-03,your_brand,Search - Competitor,ENABLED,SEARCH,MOBILE,SEARCH,290,18,9.22,0,0.0
2025-04-03,your_brand,Search - Competitor,ENABLED,SEARCH,TABLET,SEARCH,41,2,0.92,0,0.0
2025-04-03,your_brand,Display - Retargeting,ENABLED,DISPLAY,DESKTOP,CONTENT,346,1,0.16,0,0.0
2025-04-03,your_brand,Display - Retargeting,ENABLED,DISPLAY,MOBILE,CONTENT,465,1,0.17,0,0.0
2025-04-03,your_brand,Display - Retargeting,ENABLED,DISPLAY,TABLET,CONTENT,72,0,0.0,0,0.0
2025-04-04,your_brand,Brand - NL,ENABLED,SEARCH,DESKTOP,SEARCH,521,38,19.6,1,68.86
2025-04-04,your_brand,Brand - NL,ENABLED,SEARCH,MOBILE,SEARCH,573,34,12.82,0,0.0
2025-04-04,your_brand,Brand - NL,ENABLED,SEARCH,TABLET,SEARCH,86,6,3.2,0,0.0
2025-04-04,your_brand,Brand - BE,ENABLED,SEARCH,DESKTOP,SEARCH,359,23,8.96,1,62.67
2025-04-04,your_brand,Brand - BE,ENABLED,SEARCH,MOBILE,SEARCH,301,20,10.45,0,0.0
2025-04-04,your_brand,Brand - BE,ENABLED,SEARCH,TABLET,SEARCH,53,3,1.24,0,0.0
2025-04-04,your_brand,Shopping - All Products,ENABLED,SHOPPING,DESKTOP,SEARCH,902,9,2.97,0,0.0
2025-04-04,your_brand,Shopping - All Products,ENABLED,SHOPPING,MOBILE,SEARCH,803,10,2.25,0,0.0
2025-04-04,your_brand,Shopping - All Products,ENABLED,SHOPPING,TABLET,SEARCH,126,1,0.26,0,0.0
2025-04-04,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,DESKTOP,SEARCH,591,7,1.82,0,0.0
2025-04-04,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,MOBILE,SEARCH,682,8,2.06,0,0.0
2025-04-04,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,TABLET,SEARCH,89,0,0.0,0,0.0
2025-04-04,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,DESKTOP,CONTENT,1086,31,10.17,0,0.0
2025-04-04,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,MOBILE,CONTENT,1228,34,11.56,0,0.0
2025-04-04,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,TABLET,CONTENT,184,4,1.35,0,0.0
2025-04-04,your_brand,Search - Generic,ENABLED,SEARCH,DESKTOP,SEARCH,507,29,11.21,0,0.0
2025-04-04,your_brand,Search - Generic,ENABLED,SEARCH,MOBILE,SEARCH,536,35,16.63,0,0.0
2025-04-04,your_brand,Search - Generic,ENABLED,SEARCH,TABLET,SEARCH,79,5,2.4,0,0.0
2025-04-04,your_brand,Search - Competitor,ENABLED,SEARCH,DESKTOP,SEARCH,294,20,7.41,0,0.0
2025-04-04,your_brand,Search - Competitor,ENABLED,SEARCH,MOBILE,SEARCH,247,17,6.57,0,0.0
2025-04-04,your_brand,Search - Competitor,ENABLED,SEARCH,TABLET,SEARCH,47,3,1.23,0,0.0
2025-04-04,your_brand,Display - Retargeting,ENABLED,DISPLAY,DESKTOP,CONTENT,333,1,0.19,0,0.0
2025-04-04,your_brand,Display - Retargeting,ENABLED,DISPLAY,MOBILE,CONTENT,411,1,0.16,0,0.0
2025-04-04,your_brand,Display - Retargeting,ENABLED,DISPLAY,TABLET,CONTENT,52,0,0.0,0,0.0
2025-04-05,your_brand,Brand - NL,ENABLED,SEARCH,DESKTOP,SEARCH,405,24,12.72,0,0.0
2025-04-05,your_brand,Brand - NL,ENABLED,SEARCH,MOBILE,SEARCH,453,33,14.76,0,0.0
2025-04-05,your_brand,Brand - NL,ENABLED,SEARCH,TABLET,SEARCH,71,4,1.66,0,0.0
2025-04-05,your_brand,Brand - BE,ENABLED,SEARCH,DESKTOP,SEARCH,259,15,5.79,0,0.0
2025-04-05,your_brand,Brand - BE,ENABLED,SEARCH,MOBILE,SEARCH,254,14,6.27,0,0.0
2025-04-05,your_brand,Brand - BE,ENABLED,SEARCH,TABLET,SEARCH,38,2,0.93,0,0.0
2025-04-05,your_brand,Shopping - All Products,ENABLED,SHOPPING,DESKTOP,SEARCH,610,6,2.0,0,0.0
2025-04-05,your_brand,Shopping - All Products,ENABLED,SHOPPING,MOBILE,SEARCH,693,8,1.85,0,0.0
2025-04-05,your_brand,Shopping - All Products,ENABLED,SHOPPING,TABLET,SEARCH,105,1,0.23,0,0.0
2025-04-05,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,DESKTOP,SEARCH,438,4,1.29,0,0.0
2025-04-05,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,MOBILE,SEARCH,464,4,0.96,0,0.0
2025-04-05,your_brand,Shopping - Best Sellers,ENABLED,SHOPPING,TABLET,SEARCH,71,0,0.0,0,0.0
2025-04-05,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,DESKTOP,CONTENT,904,25,8.49,0,0.0
2025-04-05,your_brand,Performance Max - Prospecting,ENABLED,PERFORMANCE_MAX,MOBILE,CONTENT,960,25,10.02,0,0.0
