order_date,channel,sessions,orders,new_customer_orders,returning_customer_orders,gross_revenue,amount_refunded,units_sold,units_returned,cogs,ad_spend
2025-04-01,Google Ads,352,8,4,4,659.41,0.0,14,0,242.08,314.83
2025-04-01,Meta Ads,158,3,1,2,217.09,0.0,5,0,81.04,196.06
2025-04-01,Organic Search,312,7,2,5,525.07,0.0,11,0,186.36,0
2025-04-01,Direct,153,5,1,4,418.75,0.0,9,0,153.06,0
2025-04-01,Email,143,7,1,6,593.4,0.0,12,0,213.58,0
2025-04-01,Referral,80,2,0,2,141.06,0.0,3,0,51.51,0
2025-04-01,Bol.com,0,1,0,1,86.17,0.0,1,0,32.61,0
2025-04-02,Google Ads,433,12,6,6,977.47,41.57,23,1,344.74,330.69
2025-04-02,Meta Ads,156,2,1,1,170.09,0.0,3,0,65.54,176.19
2025-04-02,Organic Search,326,6,2,4,441.35,0.0,10,0,158.72,0
2025-04-02,Direct,185,6,1,5,417.13,0.0,9,0,153.14,0
2025-04-02,Email,123,5,0,5,392.73,0.0,9,0,148.52,0
2025-04-02,Referral,86,2,0,2,161.28,0.0,3,0,62.38,0
2025-04-02,Bol.com,0,2,0,2,156.02,0.0,3,0,56.56,0
2025-04-03,Google Ads,363,10,5,5,832.16,0.0,18,0,293.1,390.78
2025-04-03,Meta Ads,185,4,2,2,278.9,0.0,7,0,103.05,163.37
2025-04-03,Organic Search,376,8,3,5,620.3,0.0,14,0,227.75,0
2025-04-03,Direct,158,5,1,4,362.03,0.0,8,0,133.12,0
2025-04-03,Email,142,5,0,5,374.84,0.0,9,0,132.74,0
2025-04-03,Referral,87,2,1,1,169.46,0.0,3,0,60.91,0
2025-04-03,Bol.com,0,1,0,1,79.33,0.0,1,0,28.44,0
2025-04-04,Google Ads,382,10,5,5,812.45,0.0,19,0,295.78,378.53
2025-04-04,Meta Ads,157,2,1,1,153.08,0.0,3,0,56.32,194.66
2025-04-04,Organic Search,352,6,2,4,505.74,0.0,11,0,180.88,0
2025-04-04,Direct,166,5,1,4,348.69,0.0,8,0,132.68,0
2025-04-04,Email,137,6,0,6,523.65,0.0,10,0,189.81,0
2025-04-04,Referral,92,2,1,1,165.28,0.0,3,0,63.31,0
2025-04-04,Bol.com,0,1,0,1,70.14,0.0,1,0,25.26,0
2025-04-05,Google Ads,291,8,4,4,611.9,0.0,14,0,219.71,291.28
2025-04-05,Meta Ads,124,2,1,1,148.51,0.0,3,0,54.72,159.45
2025-04-05,Organic Search,309,5,1,4,368.02,0.0,9,0,134.39,0
2025-04-05,Direct,121,4,1,3,320.36,0.0,7,0,122.29,0
2025-04-05,Email,105,4,0,4,284.62,0.0,6,0,102.91,0
2025-04-05,Referral,68,2,0,2,161.03,0.0,3,0,61.64,0
2025-04-05,Bol.com,0,1,0,1,73.82,0.0,1,0,26.66,0
2025-04-06,Google Ads,291,6,3,3,511.03,0.0,11,0,190.64,242.81
2025-04-06,Meta Ads,115,2,1,1,167.09,0.0,3,0,60.27,123.39
2025-04-06,Organic Search,283,6,2,4,481.55,0.0,10,0,186.66,0
2025-04-06,Direct,136,5,1,4,412.14,0.0,8,0,158.04,0
2025-04-06,Email,113,4,0,4,282.65,0.0,7,0,107.89,0
2025-04-06,Referral,63,1,0,1,72.9,0.0,1,0,27.96,0
2025-04-06,Bol.com,0,1,0,1,80.65,0.0,1,0,31.15,0
2025-04-07,Google Ads,416,12,6,6,848.03,0.0,21,0,317.1,404.21
2025-04-07,Meta Ads,188,3,1,2,245.73,0.0,4,0,92.92,219.35
2025-04-07,Organic Search,419,8,2,6,648.6,0.0,13,0,245.26,0
2025-04-07,Direct,184,6,1,5,457.04,0.0,10,0,176.55,0
2025-04-07,Email,168,8,1,7,594.19,0.0,14,0,218.31,0
2025-04-07,Referral,98,3,1,2,230.75,0.0,5,0,87.9,0
2025-04-07,Bol.com,0,2,0,2,156.58,0.0,3,0,59.39,0
2025-04-08,Google Ads,355,8,4,4,620.28,0.0,15,0,232.48,316.9
2025-04-08,Meta Ads,171,3,1,2,242.76,0.0,4,0,86.29,172.72
2025-04-08,Organic Search,315,7,2,5,487.06,0.0,11,0,185.64,0
2025-04-08,Direct,170,6,1,5,518.55,0.0,11,0,191.96,0
2025-04-08,Email,147,6,0,6,495.37,0.0,10,0,185.81,0
2025-04-08,Referral,87,2,1,1,147.56,0.0,3,0,53.61,0
2025-04-08,Bol.com,0,2,0,2,145.94,0.0,3,0,53.5,0
2025-04-09,Google Ads,363,9,5,4,716.17,0.0,16,0,261.81,307.56
2025-04-09,Meta Ads,161,3,2,1,259.46,0.0,5,0,96.99,167.42
2025-04-09,Organic Search,325,7,2,5,524.53,0.0,13,0,193.44,0
